A,B,C,D
146.5876021183508,183.1606899615612,41.34322029944729,1806.892982524646
133.7658153493653,153.93006649469123,27.604156889406987,1605.8721312522334
123.49341015525017,229.0937697725907,34.37933939476296,2117.5955322441887
119.87364180185716,171.41448248457738,25.283194624977945,1677.7965354931919
107.66744772061124,189.6922501576565,23.371451867817296,1779.5370632105087
131.62895160921684,175.5307644677575,42.24676108596971,1759.4090256868237
86.72886004452977,125.71166366520677,24.70282498562682,1237.0809968804867
82.32882419619558,219.0601787374527,23.150041361875836,1943.6189717473626
131.3101214347602,186.8391560299982,26.601857070255765,1810.1304138241487
121.38824063346159,153.03382642922006,39.73119026375295,1524.3279981080439
87.7540945118168,187.53511017679497,32.65098439343556,1744.6737188253644
100.79229050943368,165.57681109542483,47.90344377798564,1603.6601315403175
118.48139790850627,197.74479299561986,18.057407031176886,1871.9535571372235
109.08262921985775,193.7641613905764,9.67004598712721,1795.6751379031887
96.22652816346407,235.08110337532614,39.60341209939694,2169.584325591713
78.11746789569045,180.03295905085037,33.14257227912873,1708.5416182333452
92.18698535387045,205.3847838766649,35.97978943688414,1913.9055220564578
153.8038052062099,180.30546510897054,30.717482968307,1825.3371666679354
94.24271109017364,184.55199713179417,22.31201837738095,1699.9739600921387
136.17135052376403,217.98969659832358,40.21545021771934,2104.5164882123386
91.1860026473792,171.8907005825935,22.623113575002936,1622.5886664419716
91.67760797896369,177.64614237066755,28.40831218754997,1622.836569973205
115.50904725553278,206.63161254545122,24.388306331688447,1933.9309764745594
57.53728163562083,190.90439859463615,25.86663272932024,1715.9616855485717
116.59804742896235,170.71025544264364,54.42919362563457,1726.1229920259245
88.8196836614275,187.4145288744667,34.80622192344756,1761.057326557335
113.62059250369285,172.18968607866685,24.82519798122373,1712.4530128606227
129.71842490442563,187.16102699897348,11.594294231890789,1809.8194535403873
128.65012201848538,190.0780044913779,39.377422056134854,1909.7829415092035
114.838139706912,227.41235396716166,30.374457245742626,2091.395427631729
85.2041583286097,203.57580607739723,15.120841021557611,1824.4664265842707
93.84807353930228,227.3394344669675,30.834879030360977,2064.527608760977
95.8177465845151,181.84208984018036,22.52734584828122,1733.622086249033
101.56247914603267,203.1546273949544,22.421920295672667,1877.2881513184066
91.11495840421142,229.89551598615492,29.233477146173424,2122.0986337347235
93.21015323750865,126.37641598778383,45.05393142252727,1280.6005156730878
102.0259913282686,183.06181342887095,43.37439132522228,1749.618154111044
84.8249291634694,129.58720828210258,35.34176802956,1300.923445187335
62.48021434640729,260.7253012446993,27.06761588464306,2295.0876342311312
